"Qty";"Value";"Device";"Package";"Parts";"Description";"COLORA";"COLORB";"INDEX";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POWER";"TPD";
"5";"";"1X2-THRU";"1X2";"J5, J6, JP2, JP5, JP6";"";"";"";"";"";"";"";"";"";"";
"2";"";"1X3-THRU";"1X3";"JP1, JP4";"";"";"";"";"";"";"";"";"";"";
"3";"0";"R-US_0207/10";"0207/10";"R4, R9, R13";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"42";"0.1uF";"C-US025-024X044";"C025-024X044";"C6, C7, C8, C10, C11, C12, C13, C14, C15, C16, C18, C19, C20, C21, C23, C24, C25, C26, C28, C29, C30, C31, C33, C34, C35, C36, C38, C39, C40, C41, C43, C44, C45, C46, C48, C49, C50, C51, C52, C54, C55, C56";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"7";"0.1uF";"C-US050-024X044";"C050-024X044";"C17, C22, C27, C32, C37, C42, C47";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"2";"10uF";"CPOL-USE2.5-6";"E2,5-6";"C3, C4";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"2";"150";"R-US_0207/10";"0207/10";"R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"3";"1N5817";"1N5817-B";"DO41-7.6";"D2, D3, D4";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";
"1";"1X3-THRU";"1X3-THRU";"1X3";"JP3";"";"";"";"";"";"";"";"";"";"";
"5";"1uF";"C-US025-024X044";"C025-024X044";"C1, C2, C5, C9, C53";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"200k";"R-US_0207/10";"0207/10";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"13";"270";"G08R";"SIL9";"RN1, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9, RN10, RN11, RN12, RN13";"SIL RESISTOR";"";"";"";"";"";"unknown";"unknown";"";"";
"10";"270";"R-US_0207/10";"0207/10";"R10, R11, R16, R17, R18, R19, R20, R21, R22, R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"2N4403";"2N4403";"TO92";"Q5";"";"";"";"";"";"";"";"";"";"";
"1";"2N5088";"2N5088";"TO92";"Q4";"";"";"";"";"";"";"";"";"";"";
"1";"3.3K";"R-US_0207/10";"0207/10";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"2";"33k";"R-US_0207/10";"0207/10";"R8, R12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"47";"R-US_0207/10";"0207/10";"R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"553-0221F";"553-0221F";"553-*F";"D6";"";"RED";"GREEN";"";"";"";"";"";"";"";
"1";"56";"R-US_0309/12";"0309/12";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"0.5W";"";
"1";"560";"R-US_0207/10";"0207/10";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"74F138N";"74F138N";"DIL16";"U3";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";"";"";"";"";"9ns";
"1";"74HC14N";"74HC14N";"DIL14";"U2";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";"";"31ns";
"1";"74HCT30N";"74HCT30N";"DIL14";"U4";"8-input NAND gate";"";"";"";"";"";"";"";"";"35ns";
