"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"LED5MM";"LED5MM";"D2, D3";"LED";"";
"4";"";"PINHD-1X2THRU";"1X02";"J2, JP3, JP4, JP7";"";"";
"2";"";"PINHD1X3THRU";"1X03";"JP5, JP6";"";"";
"1";"";"SW-DIP08";"SW-DIP8";"S2";"";"";
"2";"0";"R-US_0207/10";"0207/10";"R3, R4";"RESISTOR, American symbol";"";
"40";"0.1uF";"C-US025-024X044";"C025-024X044";"C1, C2, C3, C5, C6, C7, C9, C10, C11, C13, C14, C15, C17, C18, C19, C21, C22, C23, C25, C26, C27, C29, C30, C31, C32, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C52, C53, C54, C56";"CAPACITOR, American symbol";"";
"8";"0.1uF";"C-US050-024X044";"C050-024X044";"C4, C8, C12, C16, C20, C24, C28, C46";"CAPACITOR, American symbol";"";
"2";"100k";"R-US_0207/10";"0207/10";"R6, R9";"RESISTOR, American symbol";"";
"2";"100uF 25V";"CPOL-US-10-5";"C-10-5";"C47, C50";"";"";
"1";"10k";"G08R";"SIL9";"RN15";"SIL RESISTOR";"";
"1";"10k";"R-US_0207/10";"0207/10";"R5";"RESISTOR, American symbol";"";
"1";"10nF";"C-US025-024X044";"C025-024X044";"C55";"CAPACITOR, American symbol";"";
"1";"10uF";"CPOL-USE2.5-7";"E2,5-7";"C57";"POLARIZED CAPACITOR, American symbol";"";
"1";"1N5817";"1N5817-B";"DO41-7.6";"D1";"1.0A SCHOTTKY BARRIER RECTIFIER";"";
"1";"200k";"R-US_0207/10";"0207/10";"R7";"RESISTOR, American symbol";"";
"2";"220";"R-US_0207/10";"0207/10";"R11, R12";"RESISTOR, American symbol";"";
"3";"220uF 10V";"CPOL-US-10-5";"C-10-5";"C48, C49, C51";"";"";
"1";"22k";"R-US_0207/10";"0207/10";"R10";"RESISTOR, American symbol";"";
"1";"22uF 5V 1.5 Ohm ESR";"CPOL-USE2.5-7";"E2,5-7";"C45";"POLARIZED CAPACITOR, American symbol";"";
"12";"270";"G08R";"SIL9";"RN1, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9, RN10, RN11, RN12";"SIL RESISTOR";"";
"2";"270";"R-US_0207/10";"0207/10";"R1, R2";"RESISTOR, American symbol";"";
"1";"2N4403";"TRANSISTOR-PNP-2N4403";"TO92";"Q2";"";"";
"2";"2N5088";"TRANSISTOR-NPN-2N5088";"TO92";"Q1, Q3";"";"";
"2";"3.3k";"G08R";"SIL9";"RN13, RN14";"SIL RESISTOR";"";
"1";"47k";"R-US_0207/10";"0207/10";"R8";"RESISTOR, American symbol";"";
"1";"555";"NE555";"DIL-08";"U9";"General purpose bipolar Timer";"";
"1";"7404";"74LS04N";"DIL14";"U2";"Hex INVERTER";"";
"1";"7408";"74LS08N";"DIL14";"U1";"Quad 2-input AND gate";"";
"1";"74138";"74LS138N";"DIL16";"U7";"3-line to 8-line DECODER/DEMULTIPLEXER";"";
"2";"7430";"74LS30N";"DIL14";"U3, U4";"8-input NAND gate";"";
"1";"74688";"74LS688N";"DIL20";"U8";"8-bit MAGNITUDE/IDENTITY COMPARATOR, totem pole";"";
"1";"ATX24";"ATX24";"ATX24";"J1";"";"";
"2";"PINHD1X3THRU";"PINHD1X3THRU";"1X03";"JP1, JP2";"";"";
"1";"SPDTT411013";"SPDTT411013";"T411013";"S1";"";"";
"1";"TL-SCSI285";"TL-SCSI285-TO220H";"TO220H";"U5";"";"";
"8";"XMICRO-BUS-PHYSICAL-EDGE62F";"XMICRO-BUS-PHYSICAL-EDGE62F";"EDGE62F";"0, 1, 2, 3, 4, 5, 6, 7";"";"";
